# %ECSV 1.0
# ---
# datatype:
# - {name: PROGRAM, datatype: string}
# - {name: CAP, datatype: string}
# - {name: RA, datatype: float64}
# - {name: DEC, datatype: float64}
# meta: !!omap
# - {CREADATE: '2024-08-14T14:04:13-07:00'}
# - {VERSION: v20240814}
# - {DESIFN: /global/cfs/cdirs/desi/survey/ops/surveyops/trunk/ops/tiles-main.ecsv}
# - {DESI1BFN: /global/cfs/cdirs/desi/users/raichoor/desi1b/tiles-add-dr11-20240520.ecsv}
# - {PROGRAMS: 'BRIGHT,DARK'}
# - {NPASSES: '6,9'}
# schema: astropy-2.0
PROGRAM CAP RA DEC
BRIGHT NGC 277.954 35.777
BRIGHT NGC 278.086 35.365
BRIGHT NGC 278.042 35.045
BRIGHT NGC 277.998 34.817
BRIGHT NGC 277.822 34.364
BRIGHT NGC 277.822 34.004
BRIGHT NGC 277.778 33.689
BRIGHT NGC 277.734 33.555
BRIGHT NGC 277.559 33.287
BRIGHT NGC 277.251 32.975
BRIGHT NGC 276.812 32.443
BRIGHT NGC 276.768 32.134
BRIGHT NGC 276.68 31.87
BRIGHT NGC 276.592 31.695
BRIGHT NGC 276.328 31.432
BRIGHT NGC 276.021 31.126
BRIGHT NGC 275.625 30.909
BRIGHT NGC 274.966 30.432
BRIGHT NGC 274.878 30.086
BRIGHT NGC 274.966 29.742
BRIGHT NGC 274.966 29.399
BRIGHT NGC 274.878 29.057
BRIGHT NGC 274.79 28.886
BRIGHT NGC 274.614 28.631
BRIGHT NGC 274.351 28.376
BRIGHT NGC 273.999 28.122
BRIGHT NGC 273.384 27.953
BRIGHT NGC 272.988 27.49
BRIGHT NGC 272.9 27.154
BRIGHT NGC 272.9 26.735
BRIGHT NGC 272.988 26.318
BRIGHT NGC 272.944 25.944
BRIGHT NGC 272.856 25.613
BRIGHT NGC 272.812 25.489
BRIGHT NGC 272.637 25.241
BRIGHT NGC 272.373 24.994
BRIGHT NGC 272.021 24.747
BRIGHT NGC 271.406 24.583
BRIGHT NGC 270.967 24.256
BRIGHT NGC 270.835 24.051
BRIGHT NGC 270.659 23.399
BRIGHT NGC 270.747 23.074
BRIGHT NGC 270.747 22.67
BRIGHT NGC 270.703 22.387
BRIGHT NGC 270.659 22.266
BRIGHT NGC 270.396 21.863
BRIGHT NGC 270.22 21.703
BRIGHT NGC 269.868 21.462
BRIGHT NGC 269.868 20.742
BRIGHT NGC 270.22 20.264
BRIGHT NGC 270.396 19.867
BRIGHT NGC 270.439 19.511
BRIGHT NGC 270.352 19.116
BRIGHT NGC 270.352 19.037
BRIGHT NGC 270.22 18.761
BRIGHT NGC 269.956 18.446
BRIGHT NGC 269.692 18.21
BRIGHT NGC 269.297 17.7
BRIGHT NGC 269.209 17.387
BRIGHT NGC 269.165 17.27
BRIGHT NGC 268.945 16.997
BRIGHT NGC 268.638 16.724
BRIGHT NGC 268.286 16.49
BRIGHT NGC 267.979 15.985
BRIGHT NGC 267.891 15.675
BRIGHT NGC 267.935 15.249
BRIGHT NGC 267.935 14.863
BRIGHT NGC 267.847 14.555
BRIGHT NGC 267.759 14.323
BRIGHT NGC 267.671 14.17
BRIGHT NGC 267.407 13.862
BRIGHT NGC 267.056 13.632
BRIGHT NGC 266.792 13.095
BRIGHT NGC 266.704 12.789
BRIGHT NGC 266.616 12.636
BRIGHT NGC 266.44 12.406
BRIGHT NGC 266.177 12.177
BRIGHT NGC 265.825 11.948
BRIGHT NGC 265.386 11.72
BRIGHT NGC 264.99 11.529
BRIGHT NGC 264.419 11.415
BRIGHT NGC 262.749 11.72
BRIGHT NGC 262.441 11.453
BRIGHT NGC 262.134 11.263
BRIGHT NGC 261.606 11.111
BRIGHT NGC 261.343 10.503
BRIGHT NGC 261.387 10.162
BRIGHT NGC 261.387 9.859
BRIGHT NGC 261.299 9.556
BRIGHT NGC 261.255 9.14
BRIGHT NGC 261.255 8.763
BRIGHT NGC 261.167 8.461
BRIGHT NGC 261.079 8.235
BRIGHT NGC 260.991 8.084
BRIGHT NGC 260.728 7.783
BRIGHT NGC 260.42 7.595
BRIGHT NGC 260.024 7.406
BRIGHT NGC 259.146 7.406
BRIGHT NGC 258.179 7.256
BRIGHT NGC 258.091 6.955
BRIGHT NGC 258.003 6.805
BRIGHT NGC 257.695 6.317
BRIGHT NGC 257.959 5.792
BRIGHT NGC 258.047 5.417
BRIGHT NGC 258.047 5.042
BRIGHT NGC 257.959 4.743
BRIGHT NGC 257.959 4.668
BRIGHT NGC 257.783 4.369
BRIGHT NGC 257.563 4.107
BRIGHT NGC 257.3 3.882
BRIGHT NGC 256.904 3.695
BRIGHT NGC 256.465 3.546
BRIGHT NGC 256.113 3.322
BRIGHT NGC 255.674 3.172
BRIGHT NGC 255.059 2.799
BRIGHT NGC 254.971 2.575
BRIGHT NGC 254.883 2.201
BRIGHT NGC 254.839 1.791
BRIGHT NGC 254.751 1.567
BRIGHT NGC 254.663 1.418
BRIGHT NGC 254.487 1.194
BRIGHT NGC 254.224 0.97
BRIGHT NGC 253.872 0.746
BRIGHT NGC 253.389 0.41
BRIGHT NGC 253.301 0.187
BRIGHT NGC 253.169 0.0
BRIGHT NGC 252.993 -0.224
BRIGHT NGC 252.642 -0.448
BRIGHT NGC 252.29 -0.597
BRIGHT NGC 251.675 -0.671
BRIGHT NGC 250.181 -0.448
BRIGHT NGC 250.093 -0.671
BRIGHT NGC 250.005 -0.821
BRIGHT NGC 249.785 -1.082
BRIGHT NGC 249.521 -1.306
BRIGHT NGC 249.17 -1.455
BRIGHT NGC 248.818 -1.679
BRIGHT NGC 248.467 -1.828
BRIGHT NGC 248.071 -1.94
BRIGHT NGC 247.28 -1.865
BRIGHT NGC 246.313 -1.642
BRIGHT NGC 244.556 -0.97
BRIGHT NGC 243.853 -0.895
BRIGHT NGC 242.49 -0.485
BRIGHT NGC 242.227 -0.634
BRIGHT NGC 241.831 -0.746
BRIGHT NGC 241.172 -0.709
BRIGHT NGC 239.854 -0.485
BRIGHT NGC 239.81 -0.821
BRIGHT NGC 239.722 -1.045
BRIGHT NGC 239.59 -1.306
BRIGHT NGC 239.414 -1.604
BRIGHT NGC 239.37 -1.642
BRIGHT NGC 239.194 -1.865
BRIGHT NGC 238.887 -2.052
BRIGHT NGC 238.623 -2.201
BRIGHT NGC 238.228 -2.313
BRIGHT NGC 237.7 -2.313
BRIGHT NGC 236.865 -2.052
BRIGHT NGC 236.689 -2.276
BRIGHT NGC 236.426 -2.5
BRIGHT NGC 236.162 -2.649
BRIGHT NGC 235.854 -2.761
BRIGHT NGC 235.371 -2.799
BRIGHT NGC 234.8 -2.687
BRIGHT NGC 233.481 -2.089
BRIGHT NGC 233.262 -2.276
BRIGHT NGC 233.042 -2.463
BRIGHT NGC 234.272 -4.032
BRIGHT NGC 235.503 -5.304
BRIGHT NGC 235.591 -5.679
BRIGHT NGC 235.591 -6.054
BRIGHT NGC 237.129 -7.595
BRIGHT NGC 237.261 -8.084
BRIGHT NGC 237.261 -8.461
BRIGHT NGC 237.217 -8.801
BRIGHT NGC 237.129 -9.027
BRIGHT NGC 236.953 -9.329
BRIGHT NGC 236.865 -9.405
BRIGHT NGC 236.689 -9.859
BRIGHT NGC 236.602 -10.162
BRIGHT NGC 236.47 -10.427
BRIGHT NGC 236.294 -10.655
BRIGHT NGC 236.162 -10.769
BRIGHT NGC 235.898 -10.921
BRIGHT NGC 235.591 -11.111
BRIGHT NGC 235.239 -11.187
BRIGHT NGC 234.8 -11.187
BRIGHT NGC 233.569 -10.579
BRIGHT NGC 238.096 -15.133
BRIGHT NGC 238.184 -15.598
BRIGHT NGC 238.184 -15.985
BRIGHT NGC 238.052 -16.335
BRIGHT NGC 238.008 -16.451
BRIGHT NGC 237.832 -16.997
BRIGHT NGC 237.788 -17.27
BRIGHT NGC 237.656 -17.622
BRIGHT NGC 237.568 -17.779
BRIGHT NGC 237.349 -17.975
BRIGHT NGC 237.129 -18.171
BRIGHT NGC 236.777 -18.564
BRIGHT NGC 236.689 -19.037
BRIGHT NGC 236.602 -19.353
BRIGHT NGC 236.514 -19.511
BRIGHT NGC 236.338 -20.066
BRIGHT NGC 236.294 -20.344
BRIGHT NGC 236.162 -20.702
BRIGHT NGC 235.986 -20.942
BRIGHT NGC 235.854 -21.062
BRIGHT NGC 235.635 -21.262
BRIGHT NGC 235.327 -21.462
BRIGHT NGC 235.063 -21.703
BRIGHT NGC 234.8 -21.863
BRIGHT NGC 234.404 -22.065
BRIGHT NGC 234.097 -22.105
BRIGHT NGC 234.009 -22.912
BRIGHT NGC 234.097 -23.481
BRIGHT NGC 234.053 -23.847
BRIGHT NGC 233.877 -24.174
BRIGHT NGC 233.701 -24.501
BRIGHT NGC 233.481 -24.706
BRIGHT NGC 233.218 -24.871
BRIGHT NGC 233.042 -24.953
BRIGHT NGC 232.646 -25.077
BRIGHT NGC 232.295 -25.077
BRIGHT NGC 231.68 -24.994
BRIGHT NGC 230.669 -24.378
BRIGHT NGC 230.01 -24.501
BRIGHT NGC 229.878 -24.542
BRIGHT NGC 229.438 -24.624
BRIGHT NGC 228.999 -24.624
BRIGHT NGC 228.296 -24.378
BRIGHT NGC 227.9 -24.419
BRIGHT NGC 227.505 -24.46
BRIGHT NGC 227.021 -24.419
BRIGHT NGC 226.362 -24.378
BRIGHT NGC 226.099 -24.46
BRIGHT NGC 225.747 -24.542
BRIGHT NGC 225.396 -24.542
BRIGHT NGC 224.956 -24.46
BRIGHT NGC 224.297 -24.256
BRIGHT NGC 223.945 -24.337
BRIGHT NGC 223.55 -24.296
BRIGHT NGC 223.022 -24.133
BRIGHT NGC 222.583 -24.215
BRIGHT NGC 222.319 -24.296
BRIGHT NGC 221.924 -24.337
BRIGHT NGC 221.528 -24.296
BRIGHT NGC 220.869 -24.419
BRIGHT NGC 220.605 -24.665
BRIGHT NGC 220.474 -24.789
BRIGHT NGC 220.298 -24.871
BRIGHT NGC 219.946 -24.953
BRIGHT NGC 219.639 -24.994
BRIGHT NGC 219.155 -24.953
BRIGHT NGC 218.716 -24.789
BRIGHT NGC 218.408 -24.912
BRIGHT NGC 218.057 -24.994
BRIGHT NGC 217.617 -24.994
BRIGHT NGC 217.222 -24.953
BRIGHT NGC 216.782 -24.953
BRIGHT NGC 216.475 -25.077
BRIGHT NGC 216.255 -25.118
BRIGHT NGC 215.815 -25.118
BRIGHT NGC 215.464 -25.035
BRIGHT NGC 214.98 -24.83
BRIGHT NGC 214.409 -24.624
BRIGHT NGC 214.058 -24.624
BRIGHT NGC 213.75 -24.583
BRIGHT NGC 213.047 -24.583
BRIGHT NGC 212.915 -24.624
BRIGHT NGC 212.695 -24.665
BRIGHT NGC 212.388 -24.706
BRIGHT NGC 211.992 -24.665
BRIGHT NGC 211.597 -24.542
BRIGHT NGC 211.025 -24.665
BRIGHT NGC 210.762 -24.83
BRIGHT NGC 210.586 -24.912
BRIGHT NGC 210.366 -24.953
BRIGHT NGC 210.059 -24.994
BRIGHT NGC 209.707 -24.994
BRIGHT NGC 209.355 -24.912
BRIGHT NGC 208.872 -24.706
BRIGHT NGC 208.301 -24.747
BRIGHT NGC 208.081 -24.871
BRIGHT NGC 207.949 -24.912
BRIGHT NGC 207.686 -24.994
BRIGHT NGC 207.378 -25.035
BRIGHT NGC 206.982 -24.994
BRIGHT NGC 206.587 -24.871
BRIGHT NGC 206.191 -24.665
BRIGHT NGC 205.752 -24.337
BRIGHT NGC 205.4 -24.174
BRIGHT NGC 204.741 -24.051
BRIGHT NGC 204.521 -24.174
BRIGHT NGC 204.258 -24.256
BRIGHT NGC 204.126 -24.296
BRIGHT NGC 203.774 -24.296
BRIGHT NGC 203.291 -24.419
BRIGHT NGC 203.027 -24.583
BRIGHT NGC 202.808 -24.706
BRIGHT NGC 202.544 -24.789
BRIGHT NGC 202.236 -24.83
BRIGHT NGC 202.061 -24.83
BRIGHT NGC 201.753 -24.789
BRIGHT NGC 201.357 -24.665
BRIGHT NGC 201.05 -24.46
BRIGHT NGC 200.435 -24.296
BRIGHT NGC 200.171 -24.46
BRIGHT NGC 199.907 -24.542
BRIGHT NGC 199.687 -24.583
BRIGHT NGC 199.512 -24.583
BRIGHT NGC 199.16 -24.583
BRIGHT NGC 198.589 -24.542
BRIGHT NGC 198.413 -24.624
BRIGHT NGC 198.105 -24.747
BRIGHT NGC 197.886 -24.789
BRIGHT NGC 197.622 -24.789
BRIGHT NGC 197.314 -24.747
BRIGHT NGC 197.051 -24.665
BRIGHT NGC 196.699 -24.501
BRIGHT NGC 196.392 -24.296
BRIGHT NGC 195.996 -24.092
BRIGHT NGC 195.732 -24.092
BRIGHT NGC 195.425 -24.051
BRIGHT NGC 194.897 -23.969
