# %ECSV 1.0
# ---
# datatype:
# - {name: PROGRAM, datatype: string}
# - {name: CAP, datatype: string}
# - {name: RA, datatype: float64}
# - {name: DEC, datatype: float64}
# meta: !!omap
# - {CREADATE: '2024-08-14T14:04:13-07:00'}
# - {VERSION: v20240814}
# - {DESIFN: /global/cfs/cdirs/desi/survey/ops/surveyops/trunk/ops/tiles-main.ecsv}
# - {DESI1BFN: /global/cfs/cdirs/desi/users/raichoor/desi1b/tiles-add-dr11-20240520.ecsv}
# - {PROGRAMS: 'BRIGHT,DARK'}
# - {NPASSES: '6,9'}
# schema: astropy-2.0
PROGRAM CAP RA DEC
BRIGHT NGC 127.266 -5.942
BRIGHT NGC 127.178 -5.567
BRIGHT NGC 127.178 -5.192
BRIGHT NGC 127.266 -4.743
BRIGHT NGC 127.222 -4.107
BRIGHT NGC 127.002 -3.845
BRIGHT NGC 126.826 -3.546
BRIGHT NGC 126.343 -3.434
BRIGHT NGC 125.947 -3.247
BRIGHT NGC 125.684 -3.023
BRIGHT NGC 125.508 -2.799
BRIGHT NGC 125.42 -2.649
BRIGHT NGC 125.288 -2.313
BRIGHT NGC 125.244 -2.052
BRIGHT NGC 125.288 -1.642
BRIGHT NGC 125.376 -1.194
BRIGHT NGC 125.288 -0.895
BRIGHT NGC 125.288 -0.522
BRIGHT NGC 124.937 0.0
BRIGHT NGC 124.673 0.224
BRIGHT NGC 124.277 0.41
BRIGHT NGC 123.706 0.522
BRIGHT NGC 123.398 0.709
BRIGHT NGC 123.135 0.933
BRIGHT NGC 122.959 1.156
BRIGHT NGC 122.871 1.306
BRIGHT NGC 122.739 1.642
BRIGHT NGC 122.695 1.903
BRIGHT NGC 122.739 2.313
BRIGHT NGC 122.871 2.799
BRIGHT NGC 122.476 3.284
BRIGHT NGC 122.256 3.546
BRIGHT NGC 122.08 3.77
BRIGHT NGC 122.036 3.882
BRIGHT NGC 121.772 4.406
BRIGHT NGC 121.685 4.556
BRIGHT NGC 121.597 4.855
BRIGHT NGC 121.553 5.192
BRIGHT NGC 121.597 5.529
BRIGHT NGC 120.981 5.904
BRIGHT NGC 120.63 6.129
BRIGHT NGC 120.366 6.354
BRIGHT NGC 120.19 6.505
BRIGHT NGC 120.015 6.805
BRIGHT NGC 119.971 6.993
BRIGHT NGC 119.883 7.369
BRIGHT NGC 119.927 7.707
BRIGHT NGC 119.751 8.159
BRIGHT NGC 119.663 8.31
BRIGHT NGC 119.575 8.687
BRIGHT NGC 119.531 9.027
BRIGHT NGC 119.487 9.67
BRIGHT NGC 119.443 9.783
BRIGHT NGC 119.355 10.01
BRIGHT NGC 119.312 10.352
BRIGHT NGC 119.355 10.769
BRIGHT NGC 119.487 11.187
BRIGHT NGC 118.74 11.529
BRIGHT NGC 118.257 11.72
BRIGHT NGC 117.905 11.948
BRIGHT NGC 117.729 12.101
BRIGHT NGC 117.51 12.445
BRIGHT NGC 117.466 12.559
BRIGHT NGC 117.378 12.865
BRIGHT NGC 117.334 13.21
BRIGHT NGC 117.422 13.593
BRIGHT NGC 117.642 14.093
BRIGHT NGC 117.949 14.516
BRIGHT NGC 117.642 15.095
BRIGHT NGC 116.982 15.211
BRIGHT NGC 116.587 15.404
BRIGHT NGC 116.279 15.675
BRIGHT NGC 116.104 15.908
BRIGHT NGC 116.016 16.063
BRIGHT NGC 115.928 16.296
BRIGHT NGC 115.84 16.685
BRIGHT NGC 115.884 17.036
BRIGHT NGC 115.752 17.622
BRIGHT NGC 115.664 17.779
BRIGHT NGC 115.576 18.014
BRIGHT NGC 115.532 18.367
BRIGHT NGC 115.532 18.682
BRIGHT NGC 115.532 19.155
BRIGHT NGC 115.444 19.392
BRIGHT NGC 115.005 19.867
BRIGHT NGC 114.741 20.106
BRIGHT NGC 114.609 20.304
BRIGHT NGC 114.521 20.463
BRIGHT NGC 114.214 21.062
BRIGHT NGC 113.95 21.302
BRIGHT NGC 113.73 21.502
BRIGHT NGC 113.643 21.663
BRIGHT NGC 113.555 21.984
BRIGHT NGC 113.511 22.347
BRIGHT NGC 113.555 22.71
BRIGHT NGC 113.687 23.074
BRIGHT NGC 113.247 23.562
BRIGHT NGC 112.939 23.847
BRIGHT NGC 112.72 24.051
BRIGHT NGC 112.588 24.256
BRIGHT NGC 112.5 24.501
BRIGHT NGC 112.192 25.035
BRIGHT NGC 111.885 25.324
BRIGHT NGC 111.665 25.613
BRIGHT NGC 111.621 25.654
BRIGHT NGC 111.489 26.027
BRIGHT NGC 111.445 26.318
BRIGHT NGC 111.489 26.694
BRIGHT NGC 111.621 27.07
BRIGHT NGC 111.445 27.658
BRIGHT NGC 111.094 27.911
BRIGHT NGC 110.918 28.08
BRIGHT NGC 110.654 28.504
BRIGHT NGC 110.61 28.631
BRIGHT NGC 110.566 28.929
BRIGHT NGC 110.566 29.27
BRIGHT NGC 110.654 29.613
BRIGHT NGC 110.522 30.259
BRIGHT NGC 110.171 30.518
BRIGHT NGC 109.907 30.778
BRIGHT NGC 109.731 31.039
BRIGHT NGC 109.424 31.344
BRIGHT NGC 108.984 31.607
BRIGHT NGC 108.721 31.87
BRIGHT NGC 108.545 32.046
BRIGHT NGC 108.457 32.222
BRIGHT NGC 108.325 32.62
BRIGHT NGC 108.325 32.886
BRIGHT NGC 108.413 33.331
BRIGHT NGC 108.237 33.869
BRIGHT NGC 107.798 34.139
BRIGHT NGC 107.534 34.41
BRIGHT NGC 107.314 34.636
BRIGHT NGC 107.227 34.817
BRIGHT NGC 107.139 35.091
BRIGHT NGC 107.139 35.456
BRIGHT NGC 107.227 35.823
BRIGHT NGC 107.402 36.192
BRIGHT NGC 107.227 36.842
BRIGHT NGC 106.875 37.122
BRIGHT NGC 106.611 37.403
BRIGHT NGC 106.479 37.638
BRIGHT NGC 106.436 37.78
BRIGHT NGC 106.392 38.111
BRIGHT NGC 106.436 38.444
BRIGHT NGC 106.567 38.874
BRIGHT NGC 106.084 39.403
BRIGHT NGC 105.688 39.644
BRIGHT NGC 105.337 39.936
BRIGHT NGC 105.161 40.228
BRIGHT NGC 105.073 40.326
BRIGHT NGC 104.985 40.62
BRIGHT NGC 104.722 41.213
BRIGHT NGC 104.458 41.511
BRIGHT NGC 104.194 41.81
BRIGHT NGC 104.134 41.91
BRIGHT NGC 104.04 42.21
BRIGHT NGC 104.035 42.51
BRIGHT NGC 104.147 42.909
BRIGHT NGC 103.864 43.506
BRIGHT NGC 103.294 43.755
BRIGHT NGC 102.903 44.003
BRIGHT NGC 102.613 44.301
BRIGHT NGC 102.412 44.598
BRIGHT NGC 102.358 44.747
BRIGHT NGC 102.328 44.994
BRIGHT NGC 102.432 45.389
BRIGHT NGC 102.316 46.03
BRIGHT NGC 102.093 46.277
BRIGHT NGC 102.023 46.375
BRIGHT NGC 101.906 46.67
BRIGHT NGC 101.912 47.063
BRIGHT NGC 101.905 47.407
BRIGHT NGC 102.01 47.799
BRIGHT NGC 101.855 48.337
BRIGHT NGC 101.555 48.728
BRIGHT NGC 101.493 48.874
BRIGHT NGC 100.979 49.264
BRIGHT NGC 100.652 49.605
BRIGHT NGC 100.573 49.702
BRIGHT NGC 100.437 49.994
BRIGHT NGC 100.405 50.286
BRIGHT NGC 100.504 50.674
BRIGHT NGC 100.712 51.062
BRIGHT NGC 101.155 51.498
BRIGHT NGC 101.264 51.885
BRIGHT NGC 101.11 52.513
BRIGHT NGC 101.124 52.561
BRIGHT NGC 101.109 52.898
BRIGHT NGC 101.222 53.284
BRIGHT NGC 100.701 53.861
BRIGHT NGC 98.977 53.909
BRIGHT NGC 98.208 54.101
BRIGHT NGC 97.568 54.389
BRIGHT NGC 97.254 54.581
BRIGHT NGC 96.854 54.964
BRIGHT NGC 96.771 55.156
BRIGHT NGC 96.687 55.347
BRIGHT NGC 96.551 55.921
BRIGHT NGC 96.455 56.064
BRIGHT NGC 96.384 56.351
BRIGHT NGC 96.455 56.733
BRIGHT NGC 96.655 57.114
BRIGHT NGC 96.53 57.78
BRIGHT NGC 95.519 57.923
BRIGHT NGC 94.775 58.16
BRIGHT NGC 94.289 58.445
BRIGHT NGC 93.928 58.73
BRIGHT NGC 93.806 58.825
BRIGHT NGC 93.705 59.109
BRIGHT NGC 93.614 59.488
BRIGHT NGC 93.652 59.82
BRIGHT NGC 93.983 60.245
BRIGHT NGC 94.756 60.718
BRIGHT NGC 94.42 61.331
BRIGHT NGC 93.872 61.567
BRIGHT NGC 93.467 61.85
BRIGHT NGC 93.331 61.944
BRIGHT NGC 93.075 62.32
BRIGHT NGC 93.111 62.65
BRIGHT NGC 93.148 62.979
BRIGHT NGC 93.51 63.401
BRIGHT NGC 93.93 64.152
BRIGHT NGC 92.661 64.292
BRIGHT NGC 91.872 64.527
BRIGHT NGC 91.232 64.761
BRIGHT NGC 90.747 65.042
BRIGHT NGC 90.421 65.369
BRIGHT NGC 90.422 65.463
BRIGHT NGC 90.257 65.79
BRIGHT NGC 90.435 66.21
BRIGHT NGC 90.619 66.584
BRIGHT NGC 91.353 67.05
BRIGHT NGC 91.012 67.516
BRIGHT NGC 90.835 67.702
BRIGHT NGC 90.662 68.121
BRIGHT NGC 90.862 68.4
BRIGHT NGC 91.074 68.819
BRIGHT NGC 91.892 69.237
BRIGHT NGC 92.749 69.701
BRIGHT NGC 95.337 70.258
BRIGHT NGC 98.431 71.138
BRIGHT NGC 98.451 71.185
BRIGHT NGC 98.375 71.509
BRIGHT NGC 98.523 71.833
BRIGHT NGC 98.93 72.203
BRIGHT NGC 99.355 72.572
BRIGHT NGC 99.798 72.942
BRIGHT NGC 100.479 73.265
BRIGHT NGC 101.346 73.819
BRIGHT NGC 101.218 74.004
BRIGHT NGC 101.152 74.281
BRIGHT NGC 101.418 74.65
BRIGHT NGC 101.662 74.972
BRIGHT NGC 102.797 75.341
BRIGHT NGC 104.233 75.663
BRIGHT NGC 101.55 76.262
BRIGHT NGC 99.337 76.538
BRIGHT NGC 97.969 76.814
BRIGHT NGC 97.155 77.043
BRIGHT NGC 95.707 77.365
BRIGHT NGC 94.517 77.687
BRIGHT NGC 93.92 77.917
BRIGHT NGC 93.635 78.1
BRIGHT NGC 93.379 78.422
BRIGHT NGC 93.462 78.697
BRIGHT NGC 93.954 79.065
BRIGHT NGC 94.87 79.432
BRIGHT NGC 96.659 79.799
BRIGHT NGC 102.703 80.441
BRIGHT NGC 102.313 80.807
BRIGHT NGC 102.437 80.899
BRIGHT NGC 102.891 81.22
BRIGHT NGC 103.378 81.541
BRIGHT NGC 104.916 81.861
BRIGHT NGC 107.632 82.182
BRIGHT NGC 112.091 82.456
BRIGHT NGC 113.491 82.731
BRIGHT NGC 114.572 83.052
BRIGHT NGC 116.199 83.326
BRIGHT NGC 118.607 83.601
BRIGHT NGC 122.333 83.829
BRIGHT NGC 124.962 84.058
BRIGHT NGC 128.929 84.241
BRIGHT NGC 136.107 84.424
BRIGHT NGC 136.875 84.516
BRIGHT NGC 139.696 84.744
BRIGHT NGC 142.297 84.927
BRIGHT NGC 146.56 85.019
BRIGHT NGC 151.773 84.973
BRIGHT NGC 160.61 84.378
BRIGHT NGC 168.307 84.195
BRIGHT NGC 169.56 84.287
BRIGHT NGC 171.585 84.378
BRIGHT NGC 174.421 84.47
BRIGHT NGC 178.14 84.47
BRIGHT NGC 181.098 84.378
BRIGHT NGC 187.066 84.47
BRIGHT NGC 189.783 84.744
BRIGHT NGC 193.5 84.973
BRIGHT SGC -2.988 33.465
BRIGHT SGC -2.769 33.421
BRIGHT SGC -2.505 33.421
BRIGHT SGC -2.285 33.555
BRIGHT SGC -2.065 33.689
BRIGHT SGC -1.802 33.779
BRIGHT SGC -1.582 33.824
BRIGHT SGC -1.362 33.869
BRIGHT SGC -1.143 33.914
BRIGHT SGC -0.923 33.869
BRIGHT SGC -0.747 33.869
BRIGHT SGC -0.527 33.824
BRIGHT SGC -0.396 33.779
BRIGHT SGC -0.088 33.644
BRIGHT SGC 0.132 33.51
BRIGHT SGC 0.264 33.376
BRIGHT SGC 0.483 33.331
BRIGHT SGC 0.747 33.242
BRIGHT SGC 0.923 33.153
BRIGHT SGC 1.099 33.064
BRIGHT SGC 1.318 32.93
BRIGHT SGC 1.494 32.753
BRIGHT SGC 1.758 32.664
BRIGHT SGC 2.065 32.62
BRIGHT SGC 2.285 32.576
BRIGHT SGC 2.417 32.531
BRIGHT SGC 2.593 32.443
BRIGHT SGC 2.769 32.355
BRIGHT SGC 3.164 32.31
BRIGHT SGC 3.56 32.886
BRIGHT SGC 3.911 33.331
BRIGHT SGC 4.219 33.555
BRIGHT SGC 4.482 33.644
BRIGHT SGC 4.79 33.779
BRIGHT SGC 5.01 33.824
BRIGHT SGC 5.273 33.824
BRIGHT SGC 5.537 33.914
BRIGHT SGC 5.801 34.004
BRIGHT SGC 6.108 34.049
BRIGHT SGC 6.328 34.094
BRIGHT SGC 6.592 34.094
BRIGHT SGC 6.812 34.049
BRIGHT SGC 7.031 34.004
BRIGHT SGC 7.163 33.959
BRIGHT SGC 7.339 33.869
BRIGHT SGC 7.559 33.734
BRIGHT SGC 7.91 33.644
BRIGHT SGC 8.262 33.734
BRIGHT SGC 8.481 33.779
BRIGHT SGC 8.789 33.824
BRIGHT SGC 8.877 33.824
BRIGHT SGC 9.185 33.779
BRIGHT SGC 9.536 33.689
BRIGHT SGC 9.8 33.689
BRIGHT SGC 10.107 33.734
BRIGHT SGC 10.459 33.914
BRIGHT SGC 10.723 34.004
BRIGHT SGC 11.03 34.049
BRIGHT SGC 11.294 34.049
BRIGHT SGC 11.602 34.004
BRIGHT SGC 11.821 33.959
BRIGHT SGC 12.085 33.869
BRIGHT SGC 12.261 33.779
BRIGHT SGC 12.305 33.734
BRIGHT SGC 12.568 33.555
BRIGHT SGC 12.7 33.421
BRIGHT SGC 12.832 33.197
BRIGHT SGC 12.964 32.975
BRIGHT SGC 13.271 32.753
BRIGHT SGC 13.579 32.797
BRIGHT SGC 13.931 32.797
BRIGHT SGC 14.106 32.797
BRIGHT SGC 14.326 32.753
BRIGHT SGC 14.59 32.664
BRIGHT SGC 14.722 32.62
BRIGHT SGC 14.941 32.487
BRIGHT SGC 15.381 32.399
BRIGHT SGC 16.04 32.886
BRIGHT SGC 16.392 32.975
BRIGHT SGC 16.787 33.019
BRIGHT SGC 17.051 33.019
BRIGHT SGC 17.358 32.975
BRIGHT SGC 17.578 32.93
BRIGHT SGC 17.886 32.886
BRIGHT SGC 18.281 32.93
BRIGHT SGC 18.633 32.93
BRIGHT SGC 18.896 32.93
BRIGHT SGC 19.16 32.842
BRIGHT SGC 19.424 32.753
BRIGHT SGC 19.644 32.62
BRIGHT SGC 20.171 32.797
BRIGHT SGC 20.61 32.886
BRIGHT SGC 20.962 32.886
BRIGHT SGC 21.27 32.842
BRIGHT SGC 21.489 32.797
BRIGHT SGC 22.939 33.734
BRIGHT SGC 23.555 33.914
BRIGHT SGC 24.038 33.959
BRIGHT SGC 24.346 33.914
BRIGHT SGC 24.565 33.869
BRIGHT SGC 24.961 33.734
BRIGHT SGC 25.181 33.6
BRIGHT SGC 25.225 33.555
BRIGHT SGC 25.4 33.376
BRIGHT SGC 26.675 33.779
BRIGHT SGC 27.466 34.049
BRIGHT SGC 28.037 34.094
BRIGHT SGC 28.257 34.049
BRIGHT SGC 28.608 33.959
BRIGHT SGC 28.916 33.824
BRIGHT SGC 29.18 33.644
BRIGHT SGC 29.224 33.6
BRIGHT SGC 29.443 33.376
BRIGHT SGC 29.619 33.108
BRIGHT SGC 31.509 33.869
BRIGHT SGC 32.036 33.869
BRIGHT SGC 32.388 33.779
BRIGHT SGC 32.739 33.689
BRIGHT SGC 33.003 33.51
BRIGHT SGC 33.223 33.287
BRIGHT SGC 33.398 33.108
BRIGHT SGC 33.53 32.975
BRIGHT SGC 33.618 32.797
BRIGHT SGC 33.706 32.531
BRIGHT SGC 34.146 32.266
BRIGHT SGC 34.629 32.222
BRIGHT SGC 35.024 32.09
BRIGHT SGC 35.288 31.914
BRIGHT SGC 35.552 31.738
BRIGHT SGC 35.815 31.563
BRIGHT SGC 36.475 31.607
BRIGHT SGC 36.87 31.476
BRIGHT SGC 37.222 31.388
BRIGHT SGC 37.485 31.214
BRIGHT SGC 37.705 30.996
BRIGHT SGC 37.881 30.822
BRIGHT SGC 38.013 30.605
BRIGHT SGC 38.057 30.475
BRIGHT SGC 38.145 30.216
BRIGHT SGC 38.145 29.871
BRIGHT SGC 38.32 29.442
BRIGHT SGC 38.408 29.356
BRIGHT SGC 38.584 29.1
BRIGHT SGC 38.672 28.844
BRIGHT SGC 39.243 28.631
BRIGHT SGC 39.771 28.546
BRIGHT SGC 40.166 28.419
BRIGHT SGC 40.43 28.249
BRIGHT SGC 40.649 28.038
BRIGHT SGC 40.825 27.869
BRIGHT SGC 40.957 27.658
BRIGHT SGC 41.045 27.406
BRIGHT SGC 41.089 27.196
BRIGHT SGC 41.089 26.944
BRIGHT SGC 41.045 26.568
BRIGHT SGC 41.045 26.318
BRIGHT SGC 41.089 26.027
BRIGHT SGC 41.089 25.779
BRIGHT SGC 41.001 25.448
BRIGHT SGC 40.781 25.077
BRIGHT SGC 40.43 24.665
BRIGHT SGC 40.122 24.215
BRIGHT SGC 40.21 23.969
BRIGHT SGC 40.254 23.684
BRIGHT SGC 40.254 23.44
BRIGHT SGC 40.342 22.953
BRIGHT SGC 40.518 22.71
BRIGHT SGC 40.605 22.548
BRIGHT SGC 40.649 22.347
BRIGHT SGC 40.693 22.145
BRIGHT SGC 40.737 21.863
BRIGHT SGC 40.737 21.622
BRIGHT SGC 40.869 21.262
BRIGHT SGC 41.309 21.022
BRIGHT SGC 41.748 20.862
BRIGHT SGC 41.968 20.663
BRIGHT SGC 42.188 20.463
BRIGHT SGC 42.363 20.225
BRIGHT SGC 42.495 20.026
BRIGHT SGC 42.583 19.788
BRIGHT SGC 42.627 19.511
BRIGHT SGC 42.627 19.353
BRIGHT SGC 42.583 19.076
BRIGHT SGC 42.451 18.8
BRIGHT SGC 42.275 18.485
BRIGHT SGC 41.836 18.092
BRIGHT SGC 41.924 17.622
BRIGHT SGC 41.968 17.426
BRIGHT SGC 41.968 17.27
BRIGHT SGC 41.968 17.036
BRIGHT SGC 42.012 16.607
BRIGHT SGC 42.188 16.374
BRIGHT SGC 42.319 16.102
BRIGHT SGC 42.363 15.985
BRIGHT SGC 42.407 15.791
BRIGHT SGC 42.451 15.52
BRIGHT SGC 42.495 15.249
BRIGHT SGC 42.583 14.786
BRIGHT SGC 42.715 14.593
BRIGHT SGC 42.803 14.362
BRIGHT SGC 42.847 14.246
BRIGHT SGC 42.891 13.977
BRIGHT SGC 42.847 13.708
BRIGHT SGC 43.022 13.248
BRIGHT SGC 43.154 13.056
BRIGHT SGC 43.242 12.827
BRIGHT SGC 43.286 12.712
BRIGHT SGC 43.33 12.445
BRIGHT SGC 43.286 12.177
BRIGHT SGC 43.242 11.91
BRIGHT SGC 43.154 11.605
BRIGHT SGC 42.935 11.339
BRIGHT SGC 42.803 10.845
BRIGHT SGC 42.935 10.579
BRIGHT SGC 42.979 10.465
BRIGHT SGC 43.022 10.276
BRIGHT SGC 43.022 9.973
BRIGHT SGC 43.242 9.556
BRIGHT SGC 43.418 9.329
BRIGHT SGC 43.55 9.065
BRIGHT SGC 43.638 8.838
BRIGHT SGC 43.682 8.574
BRIGHT SGC 43.682 8.499
BRIGHT SGC 43.638 8.235
BRIGHT SGC 43.813 7.858
BRIGHT SGC 44.209 7.519
BRIGHT SGC 44.648 7.294
BRIGHT SGC 47.505 4.481
BRIGHT SGC 47.681 4.556
BRIGHT SGC 47.812 4.593
BRIGHT SGC 47.988 4.668
BRIGHT SGC 48.164 4.668
BRIGHT SGC 48.34 4.668
BRIGHT SGC 48.516 4.668
BRIGHT SGC 48.735 4.63
BRIGHT SGC 49.087 4.481
BRIGHT SGC 49.526 4.107
BRIGHT SGC 52.119 1.306
BRIGHT SGC 52.251 1.343
BRIGHT SGC 52.295 1.38
BRIGHT SGC 52.427 1.418
BRIGHT SGC 52.559 1.455
BRIGHT SGC 52.646 1.455
BRIGHT SGC 52.778 1.492
BRIGHT SGC 52.954 1.492
BRIGHT SGC 53.086 1.455
BRIGHT SGC 53.306 1.418
BRIGHT SGC 53.438 1.38
BRIGHT SGC 53.569 1.343
BRIGHT SGC 53.877 1.156
BRIGHT SGC 54.053 1.007
BRIGHT SGC 54.668 0.41
BRIGHT SGC 54.756 0.485
BRIGHT SGC 54.844 0.485
BRIGHT SGC 54.932 0.56
BRIGHT SGC 55.02 0.634
BRIGHT SGC 55.107 0.634
BRIGHT SGC 55.151 0.671
BRIGHT SGC 55.283 0.709
BRIGHT SGC 55.415 0.746
BRIGHT SGC 55.503 0.746
BRIGHT SGC 55.591 0.746
BRIGHT SGC 55.679 0.746
BRIGHT SGC 55.854 0.746
BRIGHT SGC 55.986 0.709
BRIGHT SGC 56.074 0.709
BRIGHT SGC 56.206 0.671
BRIGHT SGC 56.382 0.597
BRIGHT SGC 56.47 0.522
BRIGHT SGC 56.646 0.373
BRIGHT SGC 56.821 0.224
BRIGHT SGC 57.041 0.037
BRIGHT SGC 58.184 -1.903
BRIGHT SGC 58.271 -1.903
BRIGHT SGC 58.359 -1.903
BRIGHT SGC 58.403 -1.865
BRIGHT SGC 58.491 -1.791
BRIGHT SGC 58.535 -1.753
BRIGHT SGC 58.579 -1.716
BRIGHT SGC 58.667 -1.716
BRIGHT SGC 58.755 -1.642
BRIGHT SGC 58.799 -1.604
BRIGHT SGC 58.887 -1.604
BRIGHT SGC 58.931 -1.567
BRIGHT SGC 59.019 -1.567
BRIGHT SGC 59.062 -1.53
BRIGHT SGC 59.194 -1.492
BRIGHT SGC 59.238 -1.53
BRIGHT SGC 59.282 -1.492
BRIGHT SGC 59.37 -1.492
BRIGHT SGC 59.458 -1.492
BRIGHT SGC 59.546 -1.492
BRIGHT SGC 59.634 -1.492
BRIGHT SGC 59.722 -1.567
BRIGHT SGC 59.766 -1.53
BRIGHT SGC 59.897 -1.567
BRIGHT SGC 59.985 -1.642
BRIGHT SGC 60.029 -1.604
BRIGHT SGC 60.161 -1.716
BRIGHT SGC 60.249 -1.716
BRIGHT SGC 60.337 -1.791
BRIGHT SGC 60.381 -1.679
BRIGHT SGC 60.425 -1.567
BRIGHT SGC 60.513 -1.492
BRIGHT SGC 60.557 -1.38
BRIGHT SGC 60.601 -1.343
BRIGHT SGC 60.645 -1.231
BRIGHT SGC 60.688 -1.194
BRIGHT SGC 60.776 -1.119
BRIGHT SGC 60.82 -1.082
BRIGHT SGC 60.908 -1.007
BRIGHT SGC 60.952 -0.97
BRIGHT SGC 61.04 -0.895
BRIGHT SGC 61.084 -0.933
BRIGHT SGC 61.172 -0.858
BRIGHT SGC 61.216 -0.821
BRIGHT SGC 61.26 -0.783
BRIGHT SGC 61.392 -0.746
BRIGHT SGC 61.436 -0.709
BRIGHT SGC 61.523 -0.709
BRIGHT SGC 61.611 -0.709
BRIGHT SGC 61.655 -0.671
BRIGHT SGC 61.743 -0.671
BRIGHT SGC 61.831 -0.671
BRIGHT SGC 61.875 -0.709
BRIGHT SGC 61.919 -0.671
BRIGHT SGC 62.007 -0.671
BRIGHT SGC 62.095 -0.671
BRIGHT SGC 62.183 -0.671
BRIGHT SGC 62.227 -0.709
BRIGHT SGC 62.314 -0.709
BRIGHT SGC 62.446 -0.746
BRIGHT SGC 62.49 -0.783
BRIGHT SGC 62.578 -0.858
BRIGHT SGC 62.622 -0.821
BRIGHT SGC 62.71 -0.895
BRIGHT SGC 62.754 -0.187
BRIGHT SGC 62.798 0.0
BRIGHT SGC 62.886 0.224
BRIGHT SGC 62.974 0.298
BRIGHT SGC 63.018 0.41
BRIGHT SGC 63.105 0.56
BRIGHT SGC 63.193 0.634
BRIGHT SGC 63.281 0.709
BRIGHT SGC 63.325 0.746
BRIGHT SGC 63.413 0.821
BRIGHT SGC 63.501 0.895
BRIGHT SGC 63.589 0.97
BRIGHT SGC 63.633 1.007
BRIGHT SGC 63.765 1.045
BRIGHT SGC 63.809 1.082
BRIGHT SGC 63.94 1.119
BRIGHT SGC 64.028 1.119
BRIGHT SGC 64.072 1.156
BRIGHT SGC 64.16 1.156
BRIGHT SGC 64.248 1.156
BRIGHT SGC 64.292 1.194
BRIGHT SGC 64.38 1.194
BRIGHT SGC 64.468 1.194
BRIGHT SGC 64.6 1.156
BRIGHT SGC 64.688 1.156
BRIGHT SGC 64.731 1.119
BRIGHT SGC 64.819 1.119
BRIGHT SGC 64.951 1.082
BRIGHT SGC 64.995 1.045
BRIGHT SGC 65.083 1.045
BRIGHT SGC 65.171 0.97
BRIGHT SGC 65.215 0.933
BRIGHT SGC 65.303 0.858
BRIGHT SGC 65.479 1.082
BRIGHT SGC 65.566 1.231
BRIGHT SGC 65.654 1.306
BRIGHT SGC 65.786 1.492
BRIGHT SGC 65.874 1.567
BRIGHT SGC 65.962 1.642
BRIGHT SGC 66.006 1.679
BRIGHT SGC 66.182 1.753
BRIGHT SGC 66.27 1.828
BRIGHT SGC 66.357 1.828
BRIGHT SGC 66.489 1.865
BRIGHT SGC 66.533 1.903
BRIGHT SGC 66.665 1.94
BRIGHT SGC 66.753 1.94
BRIGHT SGC 66.841 1.94
BRIGHT SGC 66.929 1.94
BRIGHT SGC 67.017 1.94
BRIGHT SGC 67.104 1.94
BRIGHT SGC 67.192 1.94
BRIGHT SGC 67.324 1.903
BRIGHT SGC 67.368 1.865
BRIGHT SGC 67.456 1.865
BRIGHT SGC 67.544 1.791
BRIGHT SGC 67.632 1.791
BRIGHT SGC 67.72 1.716
BRIGHT SGC 67.764 1.679
BRIGHT SGC 67.939 1.679
BRIGHT SGC 68.027 1.679
BRIGHT SGC 68.115 1.679
BRIGHT SGC 68.247 1.716
BRIGHT SGC 68.335 1.716
BRIGHT SGC 68.423 1.716
BRIGHT SGC 68.511 1.716
BRIGHT SGC 68.599 1.716
BRIGHT SGC 68.687 1.716
BRIGHT SGC 68.774 1.716
BRIGHT SGC 68.862 1.716
BRIGHT SGC 68.994 1.679
BRIGHT SGC 69.082 1.679
BRIGHT SGC 69.126 1.642
BRIGHT SGC 69.258 1.604
BRIGHT SGC 69.302 1.567
BRIGHT SGC 69.434 1.53
BRIGHT SGC 69.478 1.492
BRIGHT SGC 69.565 1.418
BRIGHT SGC 69.653 1.343
BRIGHT SGC 69.697 1.306
BRIGHT SGC 69.785 1.231
BRIGHT SGC 69.873 1.156
BRIGHT SGC 69.917 1.119
BRIGHT SGC 69.961 1.007
BRIGHT SGC 70.049 0.933
BRIGHT SGC 70.225 0.933
BRIGHT SGC 70.312 0.933
BRIGHT SGC 70.4 1.007
BRIGHT SGC 70.62 1.119
BRIGHT SGC 70.752 1.156
BRIGHT SGC 70.796 1.194
BRIGHT SGC 70.928 1.231
BRIGHT SGC 71.06 1.268
BRIGHT SGC 71.191 1.306
BRIGHT SGC 71.367 1.306
BRIGHT SGC 71.455 1.306
BRIGHT SGC 71.543 1.306
BRIGHT SGC 71.631 1.306
BRIGHT SGC 71.763 1.268
BRIGHT SGC 71.807 1.231
BRIGHT SGC 71.895 1.231
BRIGHT SGC 72.026 1.194
BRIGHT SGC 72.114 1.119
BRIGHT SGC 72.246 1.082
BRIGHT SGC 72.29 1.045
BRIGHT SGC 72.378 0.97
BRIGHT SGC 72.422 0.933
BRIGHT SGC 72.51 0.858
BRIGHT SGC 72.598 0.783
BRIGHT SGC 72.642 0.746
BRIGHT SGC 72.686 0.634
BRIGHT SGC 72.773 0.56
BRIGHT SGC 72.817 0.448
BRIGHT SGC 72.861 0.336
BRIGHT SGC 72.949 0.261
BRIGHT SGC 72.993 0.149
BRIGHT SGC 72.993 0.0
BRIGHT SGC 73.037 -0.112
BRIGHT SGC 73.037 -0.261
